ciclo,origem,destino,Cultural,SPF,Genético
0,NL,BE,0.001,0.445,0.439
0,NL,DK,0.001,0.001,0.001
0,NL,DE,0.867,1.311,0.867
0,NL,UK,0.879,0.879,0.441
0,NL,LT,0.439,0.439,0.439
0,BE,IE,0.001,0.445,0.439
0,DK,IS,0.323,0.323,0.323
0,DK,NO,0.001,0.001,0.001
0,DK,DE,0.323,0.323,0.323
0,DK,EE,0.001,0.001,0.001
0,DK,SE,0.001,0.001,0.001
0,DK,RU,0.001,0.001,0.001
0,PL,UA,0.001,0.001,0.001
0,PL,BY,0.001,0.001,0.001
0,PL,DE,0.001,0.001,0.001
0,PL,CZ,0.001,0.001,0.001
0,PL,LT,0.001,0.001,0.001
0,DE,CZ,0.315,0.315,0.315
0,DE,LU,0.001,0.001,0.001
0,DE,CH,0.32,0.32,0.32
0,DE,CY,0.001,0.001,0.001
0,DE,IL,0.32,0.32,0.32
0,DE,AT,1.189,1.633,1.189
0,DE,RU,0.001,0.001,0.001
0,CZ,SK,0.315,0.315,0.315
0,LU,FR,0.001,0.001,0.001
0,FR,CH,0.001,0.001,0.001
0,FR,ES,0.445,0.001,0.445
0,FR,UK,0.445,0.001,0.445
0,CH,IT,0.001,0.001,0.001
0,CH,ES,0.001,0.001,0.001
0,IT,ES,0.8440000000000001,0.4,0.8440000000000001
0,IT,MT,0.001,0.001,0.001
0,IT,AT,0.4,0.4,0.4
0,IT,GR,0.445,0.001,0.445
0,MD,RO,0.001,0.001,0.001
0,BG,HU,0.001,0.001,0.001
0,BG,MK,1.199,1.199,1.199
0,BG,RO,0.001,0.001,0.001
0,BG,TR,0.329,0.329,0.329
0,BG,GR,0.871,0.871,0.871
0,RO,TR,0.001,0.001,0.001
0,RO,HU,0.001,0.001,0.001
0,GR,AT,0.427,0.871,0.427
0,CY,UK,0.001,0.001,0.001
0,IL,LT,0.001,0.001,0.001
0,ME,HR,0.001,0.001,0.001
0,HU,RS,0.315,0.315,0.315
0,HU,HR,0.001,0.001,0.001
0,HU,SK,0.315,0.315,0.315
0,SK,AT,0.001,0.001,0.001
0,PT,ES,0.4,0.4,0.4
0,PT,UK,0.439,0.439,0.439
0,HR,SL,0.323,0.323,0.323
0,SL,AT,0.722,0.722,0.722
0,LT,LV,0.001,0.001,0.001
0,IS,UK,0.001,0.001,0.001
0,IE,UK,0.445,0.001,0.883
0,NO,SE,0.001,0.001,0.001
0,SE,FI,0.001,0.001,0.001
0,EE,LV,0.001,0.001,0.001
1,NL,BE,0.348,0.792,0.786
1,NL,DK,0.001,0.001,0.348
1,NL,DE,1.214,1.658,0.867
1,NL,UK,0.879,0.879,0.441
1,NL,LT,0.439,0.439,0.439
1,BE,IE,0.001,0.445,0.439
1,DK,IS,0.323,0.323,0.323
1,DK,NO,0.406,0.406,0.406
1,DK,DE,1.0390000000000001,1.431,1.3860000000000001
1,DK,EE,0.001,0.393,0.001
1,DK,SE,0.001,0.001,0.001
1,DK,RU,0.001,0.001,0.001
1,PL,UA,0.001,0.001,0.001
1,PL,BY,0.001,0.001,0.001
1,PL,DE,0.001,0.001,0.001
1,PL,CZ,0.378,0.378,0.378
1,PL,LT,0.001,0.001,0.001
1,DE,CZ,0.741,1.175,0.741
1,DE,LU,0.435,0.435,0.435
1,DE,CH,1.151,1.151,1.151
1,DE,CY,0.001,0.001,0.001
1,DE,IL,0.32,0.712,0.32
1,DE,AT,2.281,2.291,2.281
1,DE,RU,0.001,0.001,0.001
1,CZ,SK,0.692,1.126,0.692
1,LU,FR,0.001,0.001,0.001
1,FR,CH,0.001,0.001,0.001
1,FR,ES,0.445,0.001,0.445
1,FR,UK,0.445,0.001,0.445
1,CH,IT,0.406,0.406,0.406
1,CH,ES,0.427,0.427,0.427
1,IT,ES,0.8440000000000001,0.4,0.8440000000000001
1,IT,MT,0.001,0.001,0.001
1,IT,AT,0.4,0.4,0.4
1,IT,GR,0.445,0.001,0.445
1,MD,RO,0.001,0.001,0.001
1,BG,HU,0.001,0.001,0.001
1,BG,MK,1.199,1.199,1.199
1,BG,RO,0.001,0.001,0.001
1,BG,TR,0.6759999999999999,0.6759999999999999,0.6759999999999999
1,BG,GR,1.218,1.218,1.218
1,RO,TR,0.001,0.001,0.001
1,RO,HU,0.378,0.378,0.378
1,GR,AT,0.774,1.218,0.774
1,CY,UK,0.001,0.001,0.001
1,IL,LT,0.393,0.001,0.393
1,ME,HR,0.001,0.001,0.001
1,HU,RS,0.315,0.315,0.315
1,HU,HR,0.001,0.001,0.001
1,HU,SK,1.126,1.126,1.126
1,SK,AT,0.435,0.001,0.435
1,PT,ES,0.4,0.4,0.4
1,PT,UK,0.439,0.439,0.439
1,HR,SL,0.323,0.323,0.323
1,SL,AT,1.033,1.033,1.033
1,LT,LV,0.393,0.001,0.393
1,IS,UK,0.001,0.001,0.001
1,IE,UK,0.445,0.001,0.883
1,NO,SE,0.001,0.001,0.001
1,SE,FI,0.001,0.001,0.001
1,EE,LV,0.393,0.001,0.393
2,NL,BE,0.348,0.792,0.786
2,NL,DK,0.001,0.392,0.348
2,NL,DE,1.214,1.956,0.867
2,NL,UK,0.879,1.27,0.441
