Cultural,Genético,SPF,ciclo,destino,origem
1e-05,1e-05,1e-05,0,CMBR,NY54
1e-05,1e-05,1e-05,0,CHCG,NY54
1e-05,1e-05,1e-05,0,PHLA,NY54
1e-05,1e-05,1e-05,0,WASH,NY54
1e-05,1e-05,1e-05,0,PHLA,CMBR
1e-05,1e-05,1e-05,0,CLEV,CHCG
0.06001,0.06001,0.06001,0,PHLA,CHCG
0.06001,0.06001,0.06001,0,STLS,CHCG
1e-05,1e-05,1e-05,0,DNVR,CHCG
1e-05,1e-05,1e-05,0,KSCY,CHCG
1e-05,1e-05,1e-05,0,SNFN,CHCG
1e-05,1e-05,1e-05,0,STTL,CHCG
1e-05,1e-05,1e-05,0,SLKC,CHCG
1e-05,1e-05,1e-05,0,NSVL,CLEV
1e-05,1e-05,1e-05,0,STLS,CLEV
1e-05,1e-05,1e-05,0,PHLA,CLEV
1e-05,1e-05,1e-05,0,ATLN,RLGH
1e-05,1e-05,1e-05,0,WASH,RLGH
1e-05,1e-05,1e-05,0,WASH,ATLN
1e-05,1e-05,1e-05,0,NSVL,ATLN
1e-05,1e-05,0.11800999999999999,0,STLS,ATLN
1e-05,1e-05,0.05101,0,DLLS,ATLN
1e-05,1e-05,0.16901,0,ORLD,ATLN
1e-05,1e-05,1e-05,0,WASH,PHLA
1e-05,1e-05,1e-05,0,STLS,NSVL
1e-05,1e-05,1e-05,0,DLLS,NSVL
1e-05,1e-05,1e-05,0,DLLS,STLS
1e-05,1e-05,1e-05,0,KSCY,STLS
1e-05,1e-05,0.11800999999999999,0,LA03,STLS
1e-05,1e-05,1e-05,0,HSTN,NWOR
0.15600999999999998,0.15600999999999998,0.10500999999999999,0,DLLS,NWOR
0.05101,0.05101,1e-05,0,ORLD,NWOR
1e-05,1e-05,1e-05,0,SNAN,HSTN
0.11800999999999999,0.11800999999999999,1e-05,0,DLLS,HSTN
0.11800999999999999,0.11800999999999999,1e-05,0,ORLD,HSTN
1e-05,1e-05,1e-05,0,PHNX,SNAN
0.14801,0.14801,0.14801,0,DLLS,SNAN
0.10500999999999999,0.10500999999999999,0.10500999999999999,0,DNVR,DLLS
1e-05,1e-05,1e-05,0,KSCY,DLLS
0.19901,0.19901,0.19901,0,SNFN,DLLS
0.11800999999999999,0.11800999999999999,1e-05,0,LA03,DLLS
1e-05,1e-05,1e-05,0,KSCY,DNVR
1e-05,1e-05,1e-05,0,SNFN,DNVR
0.10500999999999999,0.10500999999999999,0.10500999999999999,0,SLKC,DNVR
1e-05,1e-05,1e-05,0,SNFN,KSCY
1e-05,1e-05,1e-05,0,SCRM,SNFN
0.05101,0.05101,0.05101,0,PTLD,SNFN
1e-05,1e-05,1e-05,0,STTL,SNFN
1e-05,1e-05,1e-05,0,SLKC,SNFN
1e-05,1e-05,1e-05,0,LA03,SNFN
1e-05,1e-05,1e-05,0,SLKC,SCRM
1e-05,1e-05,1e-05,0,STTL,PTLD
1e-05,1e-05,1e-05,0,LA03,SLKC
0.11800999999999999,0.11800999999999999,0.11800999999999999,0,SNDG,LA03
1e-05,1e-05,1e-05,0,PHNX,LA03
1e-05,1e-05,1e-05,0,PHNX,SNDG
1e-05,1e-05,1e-05,1,CMBR,NY54
0.08401,0.08401,0.08401,1,CHCG,NY54
1e-05,1e-05,1e-05,1,PHLA,NY54
1e-05,1e-05,1e-05,1,WASH,NY54
1e-05,1e-05,1e-05,1,PHLA,CMBR
1e-05,1e-05,1e-05,1,CLEV,CHCG
0.12101,0.12101,0.12101,1,PHLA,CHCG
0.06001,0.06001,0.36801,1,STLS,CHCG
1e-05,1e-05,0.11601,1,DNVR,CHCG
1e-05,1e-05,1e-05,1,KSCY,CHCG
1e-05,1e-05,0.20801,1,SNFN,CHCG
0.06101,0.06101,0.06101,1,STTL,CHCG
0.15201,0.15201,1e-05,1,SLKC,CHCG
1e-05,1e-05,1e-05,1,NSVL,CLEV
1e-05,1e-05,1e-05,1,STLS,CLEV
1e-05,1e-05,1e-05,1,PHLA,CLEV
0.09000999999999999,0.09000999999999999,0.09000999999999999,1,ATLN,RLGH
1e-05,1e-05,1e-05,1,WASH,RLGH
1e-05,1e-05,1e-05,1,WASH,ATLN
1e-05,1e-05,1e-05,1,NSVL,ATLN
1e-05,1e-05,0.11800999999999999,1,STLS,ATLN
0.09000999999999999,0.09000999999999999,0.14101,1,DLLS,ATLN
1e-05,1e-05,0.16901,1,ORLD,ATLN
1e-05,1e-05,1e-05,1,WASH,PHLA
1e-05,1e-05,1e-05,1,STLS,NSVL
1e-05,1e-05,1e-05,1,DLLS,NSVL
1e-05,1e-05,1e-05,1,DLLS,STLS
0.11601,0.11601,1e-05,1,KSCY,STLS
0.12401,0.12401,0.18601,1,LA03,STLS
1e-05,1e-05,1e-05,1,HSTN,NWOR
0.15600999999999998,0.15600999999999998,0.10500999999999999,1,DLLS,NWOR
0.05101,0.05101,1e-05,1,ORLD,NWOR
1e-05,1e-05,1e-05,1,SNAN,HSTN
0.11800999999999999,0.11800999999999999,1e-05,1,DLLS,HSTN
0.11800999999999999,0.11800999999999999,1e-05,1,ORLD,HSTN
1e-05,1e-05,1e-05,1,PHNX,SNAN
0.14801,0.14801,0.14801,1,DLLS,SNAN
0.18501,0.18501,0.18501,1,DNVR,DLLS
1e-05,1e-05,1e-05,1,KSCY,DLLS
0.19901,0.19901,0.19901,1,SNFN,DLLS
0.11800999999999999,0.11800999999999999,1e-05,1,LA03,DLLS
0.11601,0.11601,1e-05,1,KSCY,DNVR
1e-05,1e-05,1e-05,1,SNFN,DNVR
0.10500999999999999,0.10500999999999999,0.10500999999999999,1,SLKC,DNVR
1e-05,1e-05,1e-05,1,SNFN,KSCY
1e-05,1e-05,0.20801,1,SCRM,SNFN
0.05101,0.05101,0.05101,1,PTLD,SNFN
0.12801,0.12801,0.12801,1,STTL,SNFN
1e-05,1e-05,1e-05,1,SLKC,SNFN
0.12801,0.12801,0.12801,1,LA03,SNFN
0.20801,0.20801,1e-05,1,SLKC,SCRM
1e-05,1e-05,1e-05,1,STTL,PTLD
0.19201000000000001,0.19201000000000001,1e-05,1,LA03,SLKC
0.11800999999999999,0.11800999999999999,0.11800999999999999,1,SNDG,LA03
0.19601000000000002,0.19601000000000002,0.19601000000000002,1,PHNX,LA03
1e-05,1e-05,1e-05,1,PHNX,SNDG
1e-05,1e-05,1e-05,2,CMBR,NY54
0.08401,0.08401,0.08401,2,CHCG,NY54
1e-05,1e-05,1e-05,2,PHLA,NY54
1e-05,1e-05,1e-05,2,WASH,NY54
1e-05,1e-05,1e-05,2,PHLA,CMBR
0.13701000000000002,0.13701000000000002,0.13701000000000002,2,CLEV,CHCG
0.12101,0.12101,0.12101,2,PHLA,CHCG
0.17601,0.17601,0.48401,2,STLS,CHCG
1e-05,1e-05,0.11601,2,DNVR,CHCG
1e-05,1e-05,1e-05,2,KSCY,CHCG
1e-05,1e-05,0.20801,2,SNFN,CHCG
0.06101,0.06101,0.06101,2,STTL,CHCG
0.28901,0.28901,0.13701000000000002,2,SLKC,CHCG
0.13701000000000002,0.13701000000000002,0.13701000000000002,2,NSVL,CLEV
