Cultural,Genético,SPF,ciclo,destino,origem
2.047,2.047,2.748,0,CMBR,NY54
0.65,0.65,0.65,0,CHCG,NY54
0.001,0.001,0.001,0,PHLA,NY54
1.921,1.921,2.622,0,WASH,NY54
0.702,0.702,0.001,0,PHLA,CMBR
0.001,0.001,0.001,0,CLEV,CHCG
0.554,0.554,0.554,0,PHLA,CHCG
0.001,0.001,0.001,0,STLS,CHCG
0.001,0.001,0.001,0,DNVR,CHCG
0.001,0.001,0.001,0,KSCY,CHCG
1.203,1.203,1.203,0,SNFN,CHCG
0.001,0.001,0.001,0,STTL,CHCG
0.001,0.001,0.001,0,SLKC,CHCG
0.001,0.001,0.001,0,NSVL,CLEV
0.001,0.001,0.001,0,STLS,CLEV
0.001,0.001,0.001,0,PHLA,CLEV
0.001,0.001,0.001,0,ATLN,RLGH
0.001,0.001,0.001,0,WASH,RLGH
0.524,0.524,0.524,0,WASH,ATLN
0.001,0.001,0.001,0,NSVL,ATLN
0.001,0.001,0.001,0,STLS,ATLN
0.581,0.581,0.581,0,DLLS,ATLN
0.524,0.524,0.524,0,ORLD,ATLN
0.702,0.702,0.001,0,WASH,PHLA
0.001,0.001,0.001,0,STLS,NSVL
0.001,0.001,0.001,0,DLLS,NSVL
0.001,0.001,0.001,0,DLLS,STLS
0.001,0.001,0.001,0,KSCY,STLS
0.001,0.001,0.001,0,LA03,STLS
0.001,0.001,0.001,0,HSTN,NWOR
0.653,0.653,0.653,0,DLLS,NWOR
0.001,0.001,0.001,0,ORLD,NWOR
0.001,0.001,0.001,0,SNAN,HSTN
0.001,0.001,0.001,0,DLLS,HSTN
0.001,0.001,0.001,0,ORLD,HSTN
0.001,0.001,0.001,0,PHNX,SNAN
0.001,0.001,0.001,0,DLLS,SNAN
0.624,0.624,0.624,0,DNVR,DLLS
0.001,0.001,0.001,0,KSCY,DLLS
1.233,1.233,1.233,0,SNFN,DLLS
0.001,0.001,0.001,0,LA03,DLLS
0.001,0.001,0.001,0,KSCY,DNVR
0.001,0.001,0.001,0,SNFN,DNVR
0.001,0.001,0.001,0,SLKC,DNVR
0.001,0.001,0.001,0,SNFN,KSCY
1.23,1.23,1.23,0,SCRM,SNFN
1.8570000000000002,1.8570000000000002,1.8570000000000002,0,PTLD,SNFN
0.001,0.001,0.001,0,STTL,SNFN
0.001,0.001,0.001,0,SLKC,SNFN
0.652,0.652,0.652,0,LA03,SNFN
0.001,0.001,0.001,0,SLKC,SCRM
0.001,0.001,0.001,0,STTL,PTLD
0.001,0.001,0.001,0,LA03,SLKC
0.001,0.001,0.001,0,SNDG,LA03
0.652,0.652,0.652,0,PHNX,LA03
0.001,0.001,0.001,0,PHNX,SNDG
2.047,2.047,2.748,1,CMBR,NY54
0.65,0.65,0.65,1,CHCG,NY54
0.745,0.745,0.745,1,PHLA,NY54
1.921,1.921,2.622,1,WASH,NY54
0.702,0.702,0.001,1,PHLA,CMBR
0.001,0.001,0.001,1,CLEV,CHCG
0.554,0.554,0.554,1,PHLA,CHCG
0.776,0.776,0.776,1,STLS,CHCG
0.001,0.001,0.001,1,DNVR,CHCG
0.001,0.001,0.001,1,KSCY,CHCG
1.203,1.203,1.203,1,SNFN,CHCG
0.001,0.001,0.001,1,STTL,CHCG
0.001,0.001,0.001,1,SLKC,CHCG
0.727,0.727,0.727,1,NSVL,CLEV
