ciclo,origem,destino,Cultural,SPF,Genético
0,NL,BE,0.001,0.001,0.001
0,NL,DK,0.001,0.001,0.001
0,NL,DE,0.31,0.383,0.31
0,NL,UK,0.001,0.383,0.001
0,NL,LT,0.31,0.001,0.31
0,BE,IE,0.001,0.001,0.001
0,DK,IS,0.001,0.001,0.001
0,DK,NO,0.001,0.001,0.001
0,DK,DE,0.293,0.293,0.293
0,DK,EE,0.001,0.001,0.001
0,DK,SE,0.293,0.293,0.293
0,DK,RU,0.001,0.001,0.001
0,PL,UA,0.001,0.001,0.001
0,PL,BY,0.001,0.001,0.001
0,PL,DE,0.001,0.001,0.001
0,PL,CZ,0.001,0.31,0.001
0,PL,LT,0.001,0.31,0.001
0,DE,CZ,0.381,1.048,0.381
0,DE,LU,0.001,0.001,0.001
0,DE,CH,0.001,0.293,0.001
0,DE,CY,0.383,0.001,0.383
0,DE,IL,0.381,0.381,0.381
0,DE,AT,1.269,0.001,1.269
0,DE,RU,0.286,0.286,0.286
0,CZ,SK,0.381,1.357,0.381
0,LU,FR,0.001,0.001,0.001
0,FR,CH,0.001,0.001,0.001
0,FR,ES,0.001,0.001,0.001
0,FR,UK,0.001,0.001,0.001
0,CH,IT,0.001,0.293,0.001
0,CH,ES,0.001,0.001,0.001
0,IT,ES,0.001,0.001,0.001
0,IT,MT,0.001,0.001,0.001
0,IT,AT,0.293,0.001,0.293
0,IT,GR,0.001,0.001,0.001
0,MD,RO,0.001,0.001,0.001
0,BG,HU,0.001,0.001,0.001
0,BG,MK,0.001,0.001,0.001
0,BG,RO,0.001,0.001,0.001
0,BG,TR,0.001,0.001,0.001
0,BG,GR,0.001,0.001,0.001
0,RO,TR,0.001,0.001,0.001
0,RO,HU,0.001,0.001,0.001
0,GR,AT,0.001,0.001,0.001
0,CY,UK,0.383,0.001,0.383
0,IL,LT,0.001,0.001,0.001
0,ME,HR,0.31,0.31,0.31
0,HU,RS,0.381,0.381,0.381
0,HU,HR,0.001,0.31,0.001
0,HU,SK,0.763,1.072,0.763
0,SK,AT,0.6679999999999999,0.001,0.6679999999999999
0,PT,ES,0.001,0.001,0.001
0,PT,UK,0.001,0.001,0.001
0,HR,SL,0.31,0.001,0.31
0,SL,AT,0.31,0.001,0.31
0,LT,LV,0.001,0.001,0.001
0,IS,UK,0.001,0.001,0.001
0,IE,UK,0.001,0.001,0.001
0,NO,SE,0.001,0.001,0.001
0,SE,FI,0.293,0.293,0.293
0,EE,LV,0.001,0.001,0.001
1,NL,BE,0.437,0.437,0.437
1,NL,DK,0.001,0.001,0.39
1,NL,DE,1.535,1.608,1.146
1,NL,UK,0.001,0.383,0.001
1,NL,LT,0.31,0.001,0.31
1,BE,IE,0.001,0.001,0.001
1,DK,IS,0.001,0.001,0.001
1,DK,NO,0.303,0.303,0.303
1,DK,DE,1.346,0.9470000000000001,1.735
1,DK,EE,0.4,0.001,0.4
1,DK,SE,0.645,0.645,0.645
1,DK,RU,0.001,0.001,0.001
1,PL,UA,0.001,0.001,0.001
1,PL,BY,0.001,0.001,0.001
1,PL,DE,0.001,0.001,0.001
1,PL,CZ,0.001,0.7090000000000001,0.001
1,PL,LT,0.001,0.7090000000000001,0.001
1,DE,CZ,0.381,1.048,0.381
1,DE,LU,0.7889999999999999,0.7889999999999999,0.7889999999999999
1,DE,CH,0.001,0.293,0.001
1,DE,CY,0.685,0.303,0.685
1,DE,IL,0.381,0.381,0.381
1,DE,AT,2.457,0.79,2.457
1,DE,RU,0.286,0.286,0.286
1,CZ,SK,0.381,1.756,0.381
1,LU,FR,0.001,0.001,0.001
1,FR,CH,0.001,0.001,0.001
1,FR,ES,0.001,0.001,0.001
1,FR,UK,0.001,0.001,0.001
1,CH,IT,0.001,0.293,0.001
1,CH,ES,0.001,0.001,0.001
1,IT,ES,0.001,0.001,0.001
1,IT,MT,0.001,0.001,0.001
1,IT,AT,0.293,0.001,0.293
1,IT,GR,0.001,0.001,0.001
1,MD,RO,0.39,0.39,0.39
1,BG,HU,0.001,0.001,0.001
1,BG,MK,0.001,0.001,0.001
1,BG,RO,0.39,0.39,0.39
1,BG,TR,0.001,0.001,0.001
1,BG,GR,0.39,0.39,0.39
1,RO,TR,0.001,0.001,0.001
1,RO,HU,0.001,0.001,0.001
1,GR,AT,0.39,0.39,0.39
1,CY,UK,0.383,0.001,0.383
1,IL,LT,0.001,0.001,0.001
1,ME,HR,0.7090000000000001,0.7090000000000001,0.7090000000000001
1,HU,RS,0.381,0.381,0.381
1,HU,HR,0.001,0.7090000000000001,0.001
1,HU,SK,0.763,1.471,0.763
1,SK,AT,0.6679999999999999,0.001,0.6679999999999999
1,PT,ES,0.001,0.001,0.001
1,PT,UK,0.001,0.001,0.001
1,HR,SL,0.7090000000000001,0.001,0.7090000000000001
1,SL,AT,1.109,0.401,1.109
1,LT,LV,0.001,0.4,0.001
1,IS,UK,0.001,0.001,0.001
1,IE,UK,0.001,0.001,0.001
1,NO,SE,0.001,0.001,0.001
1,SE,FI,0.645,0.645,0.645
1,EE,LV,0.4,0.001,0.4
2,NL,BE,0.437,0.437,0.437
2,NL,DK,0.001,0.001,0.39
2,NL,DE,2.287,2.385,1.898
2,NL,UK,0.32,0.383,0.32
2,NL,LT,0.31,0.345,0.31
2,BE,IE,0.001,0.001,0.001
2,DK,IS,0.001,0.001,0.001
2,DK,NO,0.303,0.303,0.303
2,DK,DE,1.346,0.9470000000000001,1.735
