Cultural,Genético,SPF,ciclo,destino,origem
0.001,0.001,0.001,0,CMBR,NY54
0.001,0.001,0.001,0,CHCG,NY54
0.644,0.644,0.644,0,PHLA,NY54
0.001,0.001,0.001,0,WASH,NY54
0.001,0.001,0.001,0,PHLA,CMBR
0.001,0.001,0.001,0,CLEV,CHCG
0.683,0.683,0.683,0,PHLA,CHCG
0.001,0.001,0.001,0,STLS,CHCG
0.001,0.001,0.001,0,DNVR,CHCG
0.001,0.001,0.631,0,KSCY,CHCG
0.001,0.001,0.683,0,SNFN,CHCG
0.001,0.001,0.001,0,STTL,CHCG
0.683,0.683,0.631,0,SLKC,CHCG
0.643,0.643,0.643,0,NSVL,CLEV
0.001,0.001,0.001,0,STLS,CLEV
0.643,0.643,0.643,0,PHLA,CLEV
0.592,0.592,0.592,0,ATLN,RLGH
0.001,0.001,0.001,0,WASH,RLGH
0.633,0.633,0.633,0,WASH,ATLN
0.001,0.001,0.001,0,NSVL,ATLN
0.001,0.001,0.001,0,STLS,ATLN
0.592,0.592,1.224,0,DLLS,ATLN
0.633,0.633,0.001,0,ORLD,ATLN
0.001,0.001,0.001,0,WASH,PHLA
0.001,0.001,0.001,0,STLS,NSVL
0.554,0.554,0.554,0,DLLS,NSVL
0.001,0.001,0.001,0,DLLS,STLS
0.001,0.001,0.001,0,KSCY,STLS
0.001,0.001,0.001,0,LA03,STLS
0.001,0.001,0.001,0,HSTN,NWOR
1.134,1.134,1.766,0,DLLS,NWOR
0.633,0.633,0.001,0,ORLD,NWOR
0.001,0.001,0.001,0,SNAN,HSTN
0.001,0.001,0.001,0,DLLS,HSTN
0.001,0.001,0.001,0,ORLD,HSTN
0.001,0.001,0.001,0,PHNX,SNAN
0.001,0.001,0.001,0,DLLS,SNAN
0.581,0.581,0.581,0,DNVR,DLLS
0.001,0.001,0.001,0,KSCY,DLLS
0.592,0.592,0.592,0,SNFN,DLLS
0.001,0.001,0.001,0,LA03,DLLS
0.631,0.631,0.001,0,KSCY,DNVR
0.001,0.001,0.001,0,SNFN,DNVR
0.631,0.631,0.001,0,SLKC,DNVR
0.001,0.001,0.001,0,SNFN,KSCY
0.001,0.001,0.683,0,SCRM,SNFN
0.001,0.001,0.001,0,PTLD,SNFN
0.001,0.001,0.001,0,STTL,SNFN
0.001,0.001,0.001,0,SLKC,SNFN
0.001,0.001,0.001,0,LA03,SNFN
0.683,0.683,0.001,0,SLKC,SCRM
0.001,0.001,0.001,0,STTL,PTLD
0.001,0.001,0.001,0,LA03,SLKC
0.001,0.001,0.001,0,SNDG,LA03
0.001,0.001,0.001,0,PHNX,LA03
0.567,0.567,0.567,0,PHNX,SNDG
0.001,0.001,0.001,1,CMBR,NY54
