Cultural,Genético,SPF,ciclo,destino,origem
0.001,0.001,0.001,0,CMBR,NY54
0.001,0.001,0.001,0,CHCG,NY54
0.001,0.001,0.001,0,PHLA,NY54
0.001,0.001,0.001,0,WASH,NY54
0.001,0.001,0.001,0,PHLA,CMBR
0.001,0.001,0.001,0,CLEV,CHCG
0.001,0.001,0.001,0,PHLA,CHCG
0.001,0.001,0.001,0,STLS,CHCG
0.001,0.001,0.001,0,DNVR,CHCG
0.001,0.001,0.001,0,KSCY,CHCG
0.001,0.001,0.001,0,SNFN,CHCG
0.001,0.001,0.001,0,STTL,CHCG
0.001,0.001,0.001,0,SLKC,CHCG
0.001,0.001,0.001,0,NSVL,CLEV
0.001,0.001,0.001,0,STLS,CLEV
0.001,0.001,0.001,0,PHLA,CLEV
0.33,0.33,0.33,0,ATLN,RLGH
0.001,0.001,0.001,0,WASH,RLGH
0.383,0.383,0.383,0,WASH,ATLN
0.001,0.001,0.001,0,NSVL,ATLN
0.465,0.465,0.794,0,STLS,ATLN
1.033,1.033,0.704,0,DLLS,ATLN
0.465,0.465,0.465,0,ORLD,ATLN
0.001,0.001,0.001,0,WASH,PHLA
0.001,0.001,0.001,0,STLS,NSVL
0.471,0.471,0.471,0,DLLS,NSVL
0.001,0.001,0.001,0,DLLS,STLS
0.001,0.001,0.001,0,KSCY,STLS
0.465,0.465,0.794,0,LA03,STLS
0.001,0.001,0.001,0,HSTN,NWOR
0.471,0.471,0.471,0,DLLS,NWOR
0.001,0.001,0.001,0,ORLD,NWOR
0.001,0.001,0.001,0,SNAN,HSTN
0.001,0.001,0.001,0,DLLS,HSTN
0.001,0.001,0.001,0,ORLD,HSTN
0.341,0.341,0.7390000000000001,0,PHNX,SNAN
1.4409999999999998,1.4409999999999998,1.043,0,DLLS,SNAN
0.001,0.001,0.001,0,DNVR,DLLS
0.001,0.001,0.001,0,KSCY,DLLS
0.001,0.001,0.001,0,SNFN,DLLS
0.728,0.728,0.001,0,LA03,DLLS
0.001,0.001,0.001,0,KSCY,DNVR
0.001,0.001,0.001,0,SNFN,DNVR
0.001,0.001,0.001,0,SLKC,DNVR
0.001,0.001,0.001,0,SNFN,KSCY
0.001,0.001,0.001,0,SCRM,SNFN
0.368,0.368,0.368,0,PTLD,SNFN
0.001,0.001,0.001,0,STTL,SNFN
0.001,0.001,0.001,0,SLKC,SNFN
0.368,0.368,0.368,0,LA03,SNFN
0.001,0.001,0.001,0,SLKC,SCRM
0.001,0.001,0.001,0,STTL,PTLD
0.001,0.001,0.001,0,LA03,SLKC
0.368,0.368,0.368,0,SNDG,LA03
0.001,0.001,0.399,0,PHNX,LA03
0.341,0.341,0.341,0,PHNX,SNDG
