ciclo,origem,destino,Cultural,SPF,Genético
0,NY54,CMBR,0.304,0.304,0.304
0,NY54,CHCG,0.304,0.304,0.304
0,NY54,PHLA,0.001,0.001,0.001
0,NY54,WASH,0.001,0.001,0.001
0,CMBR,PHLA,0.001,0.001,0.001
0,CHCG,CLEV,0.778,0.778,0.778
0,CHCG,PHLA,0.001,0.001,0.001
0,CHCG,STLS,0.001,0.001,0.001
0,CHCG,DNVR,0.001,0.001,0.001
0,CHCG,KSCY,0.001,0.443,0.001
0,CHCG,SNFN,0.817,0.367,0.367
0,CHCG,STTL,0.754,0.304,0.304
0,CHCG,SLKC,0.412,0.854,0.412
0,CLEV,NSVL,0.412,0.412,0.412
0,CLEV,STLS,0.001,0.001,0.001
0,CLEV,PHLA,0.001,0.001,0.001
0,RLGH,ATLN,0.001,0.001,0.001
0,RLGH,WASH,0.001,0.001,0.001
0,ATLN,WASH,0.001,0.001,0.001
0,ATLN,NSVL,0.001,0.001,0.001
0,ATLN,STLS,0.001,0.001,0.001
0,ATLN,DLLS,0.001,0.001,0.001
0,ATLN,ORLD,0.001,0.001,0.001
0,PHLA,WASH,0.001,0.001,0.001
0,NSVL,STLS,0.001,0.001,0.001
0,NSVL,DLLS,0.001,0.001,0.001
0,STLS,DLLS,0.001,0.001,0.001
0,STLS,KSCY,0.001,0.001,0.001
0,STLS,LA03,0.001,0.001,0.001
0,NWOR,HSTN,0.001,0.001,0.001
0,NWOR,DLLS,0.451,0.451,0.451
0,NWOR,ORLD,0.001,0.001,0.001
0,HSTN,SNAN,0.001,0.001,0.001
0,HSTN,DLLS,0.001,0.001,0.001
0,HSTN,ORLD,0.001,0.001,0.001
0,SNAN,PHNX,0.001,0.001,0.001
0,SNAN,DLLS,0.001,0.001,0.001
0,DLLS,DNVR,0.001,0.001,0.001
0,DLLS,KSCY,0.001,0.001,0.001
0,DLLS,SNFN,0.451,0.451,0.451
0,DLLS,LA03,0.001,0.001,0.001
0,DNVR,KSCY,0.443,0.001,0.443
0,DNVR,SNFN,0.001,0.001,0.001
0,DNVR,SLKC,0.443,0.001,0.443
0,KSCY,SNFN,0.001,0.001,0.001
0,SNFN,SCRM,0.001,0.001,0.001
0,SNFN,PTLD,0.001,0.001,0.001
0,SNFN,STTL,0.001,0.451,0.451
0,SNFN,SLKC,0.001,0.001,0.001
0,SNFN,LA03,0.001,0.001,0.001
0,SCRM,SLKC,0.001,0.001,0.001
0,PTLD,STTL,0.001,0.001,0.001
0,SLKC,LA03,0.001,0.001,0.001
0,LA03,SNDG,0.001,0.001,0.001
0,LA03,PHNX,0.001,0.001,0.001
0,SNDG,PHNX,0.001,0.001,0.001
1,NY54,CMBR,0.304,0.304,0.304
1,NY54,CHCG,0.754,1.054,0.754
1,NY54,PHLA,0.001,0.001,0.001
1,NY54,WASH,0.301,0.001,0.301
1,CMBR,PHLA,0.001,0.001,0.001
1,CHCG,CLEV,0.778,0.778,0.778
1,CHCG,PHLA,0.001,0.001,0.001
1,CHCG,STLS,0.296,1.4009999999999998,0.296
1,CHCG,DNVR,0.001,0.001,0.001
1,CHCG,KSCY,0.88,0.872,0.88
1,CHCG,SNFN,0.817,0.367,0.367
1,CHCG,STTL,0.754,0.659,0.304
1,CHCG,SLKC,0.841,1.283,0.841
1,CLEV,NSVL,0.412,0.412,0.412
1,CLEV,STLS,0.451,0.451,0.451
1,CLEV,PHLA,0.001,0.001,0.001
1,RLGH,ATLN,0.001,0.001,0.001
1,RLGH,WASH,0.001,0.001,0.001
1,ATLN,WASH,0.301,0.001,0.301
1,ATLN,NSVL,0.001,0.001,0.001
1,ATLN,STLS,0.001,0.356,0.001
1,ATLN,DLLS,0.714,0.414,0.714
1,ATLN,ORLD,0.414,0.7689999999999999,0.414
1,PHLA,WASH,0.001,0.001,0.001
1,NSVL,STLS,0.001,0.001,0.001
1,NSVL,DLLS,0.001,0.001,0.001
1,STLS,DLLS,0.001,0.751,0.001
1,STLS,KSCY,0.001,0.001,0.001
1,STLS,LA03,0.451,0.451,0.451
1,NWOR,HSTN,0.001,0.001,0.001
1,NWOR,DLLS,1.1059999999999999,0.751,1.1059999999999999
1,NWOR,ORLD,0.356,0.001,0.356
1,HSTN,SNAN,0.326,0.326,0.326
1,HSTN,DLLS,0.451,0.451,0.451
1,HSTN,ORLD,0.001,0.001,0.001
1,SNAN,PHNX,0.326,0.326,0.326
1,SNAN,DLLS,0.001,0.001,0.001
1,DLLS,DNVR,0.001,0.001,0.001
1,DLLS,KSCY,0.451,0.001,0.451
1,DLLS,SNFN,1.219,0.864,1.219
1,DLLS,LA03,0.001,0.001,0.001
1,DNVR,KSCY,0.443,0.001,0.443
1,DNVR,SNFN,0.001,0.001,0.001
1,DNVR,SLKC,0.443,0.001,0.443
1,KSCY,SNFN,0.001,0.001,0.001
1,SNFN,SCRM,0.001,0.001,0.001
1,SNFN,PTLD,0.414,0.414,0.414
1,SNFN,STTL,0.356,0.451,0.806
1,SNFN,SLKC,0.001,0.001,0.001
1,SNFN,LA03,0.001,0.001,0.001
1,SCRM,SLKC,0.001,0.001,0.001
1,PTLD,STTL,0.001,0.001,0.001
1,SLKC,LA03,0.001,0.001,0.001
1,LA03,SNDG,0.451,0.001,0.001
1,LA03,PHNX,0.001,0.451,0.451
1,SNDG,PHNX,0.451,0.001,0.001
2,NY54,CMBR,0.716,1.059,0.716
2,NY54,CHCG,0.754,1.397,0.754
2,NY54,PHLA,0.001,0.001,0.001
2,NY54,WASH,0.301,0.001,0.301
2,CMBR,PHLA,0.34400000000000003,0.001,0.34400000000000003
2,CHCG,CLEV,0.778,0.778,0.778
2,CHCG,PHLA,0.34400000000000003,0.001,0.34400000000000003
