Cultural,Genético,SPF,ciclo,destino,origem
0.06,0.06,0.06,0,CMBR,NY54
0.001,0.001,0.001,0,CHCG,NY54
0.001,0.001,0.001,0,PHLA,NY54
0.06,0.06,0.06,0,WASH,NY54
0.001,0.001,0.001,0,PHLA,CMBR
0.1,0.1,0.1,0,CLEV,CHCG
0.063,0.063,0.063,0,PHLA,CHCG
0.001,0.001,0.001,0,STLS,CHCG
0.001,0.001,0.001,0,DNVR,CHCG
0.001,0.001,0.001,0,KSCY,CHCG
0.133,0.133,0.232,0,SNFN,CHCG
0.1,0.1,0.001,0,STTL,CHCG
0.063,0.063,0.063,0,SLKC,CHCG
0.001,0.001,0.073,0,NSVL,CLEV
0.073,0.073,0.001,0,STLS,CLEV
0.001,0.001,0.001,0,PHLA,CLEV
0.001,0.001,0.001,0,ATLN,RLGH
0.001,0.001,0.001,0,WASH,RLGH
0.06,0.06,0.06,0,WASH,ATLN
0.001,0.001,0.001,0,NSVL,ATLN
0.001,0.001,0.001,0,STLS,ATLN
0.001,0.001,0.001,0,DLLS,ATLN
0.001,0.001,0.001,0,ORLD,ATLN
0.001,0.001,0.001,0,WASH,PHLA
0.001,0.001,0.001,0,STLS,NSVL
0.001,0.001,0.073,0,DLLS,NSVL
0.073,0.073,0.001,0,DLLS,STLS
0.001,0.001,0.001,0,KSCY,STLS
0.001,0.001,0.001,0,LA03,STLS
0.001,0.001,0.001,0,HSTN,NWOR
0.001,0.001,0.001,0,DLLS,NWOR
0.001,0.001,0.001,0,ORLD,NWOR
0.001,0.001,0.001,0,SNAN,HSTN
0.21200000000000002,0.21200000000000002,0.21200000000000002,0,DLLS,HSTN
0.001,0.001,0.001,0,ORLD,HSTN
0.001,0.001,0.142,0,PHNX,SNAN
0.001,0.001,0.142,0,DLLS,SNAN
0.142,0.142,0.142,0,DNVR,DLLS
0.13,0.13,0.13,0,KSCY,DLLS
0.083,0.083,0.083,0,SNFN,DLLS
0.142,0.142,0.001,0,LA03,DLLS
0.001,0.001,0.001,0,KSCY,DNVR
0.001,0.001,0.001,0,SNFN,DNVR
0.001,0.001,0.001,0,SLKC,DNVR
0.001,0.001,0.001,0,SNFN,KSCY
0.199,0.199,0.199,0,SCRM,SNFN
0.001,0.001,0.1,0,PTLD,SNFN
0.001,0.001,0.001,0,STTL,SNFN
0.001,0.001,0.001,0,SLKC,SNFN
0.067,0.067,0.067,0,LA03,SNFN
0.001,0.001,0.001,0,SLKC,SCRM
0.248,0.248,0.149,0,STTL,PTLD
0.001,0.001,0.001,0,LA03,SLKC
0.001,0.001,0.001,0,SNDG,LA03
0.208,0.208,0.067,0,PHNX,LA03
0.001,0.001,0.001,0,PHNX,SNDG
0.06,0.06,0.06,1,CMBR,NY54
0.001,0.001,0.108,1,CHCG,NY54
0.001,0.001,0.001,1,PHLA,NY54
0.06,0.06,0.16699999999999998,1,WASH,NY54
0.001,0.001,0.001,1,PHLA,CMBR
0.1,0.1,0.1,1,CLEV,CHCG
0.063,0.063,0.063,1,PHLA,CHCG
0.108,0.108,0.001,1,STLS,CHCG
0.001,0.001,0.001,1,DNVR,CHCG
0.001,0.001,0.001,1,KSCY,CHCG
0.133,0.133,0.232,1,SNFN,CHCG
0.20700000000000002,0.20700000000000002,0.108,1,STTL,CHCG
0.063,0.063,0.063,1,SLKC,CHCG
0.11,0.11,0.182,1,NSVL,CLEV
0.073,0.073,0.001,1,STLS,CLEV
0.001,0.001,0.001,1,PHLA,CLEV
0.108,0.108,0.001,1,ATLN,RLGH
0.001,0.001,0.108,1,WASH,RLGH
0.06,0.06,0.06,1,WASH,ATLN
0.001,0.001,0.001,1,NSVL,ATLN
0.108,0.108,0.001,1,STLS,ATLN
0.001,0.001,0.001,1,DLLS,ATLN
0.001,0.001,0.001,1,ORLD,ATLN
0.001,0.001,0.001,1,WASH,PHLA
0.001,0.001,0.001,1,STLS,NSVL
0.001,0.001,0.073,1,DLLS,NSVL
0.073,0.073,0.001,1,DLLS,STLS
0.001,0.001,0.001,1,KSCY,STLS
0.001,0.001,0.001,1,LA03,STLS
0.001,0.001,0.001,1,HSTN,NWOR
0.001,0.001,0.001,1,DLLS,NWOR
0.001,0.001,0.001,1,ORLD,NWOR
0.001,0.001,0.001,1,SNAN,HSTN
0.43000000000000005,0.43000000000000005,0.43000000000000005,1,DLLS,HSTN
0.001,0.001,0.001,1,ORLD,HSTN
0.001,0.001,0.142,1,PHNX,SNAN
0.001,0.001,0.142,1,DLLS,SNAN
0.142,0.142,0.142,1,DNVR,DLLS
0.26,0.26,0.26,1,KSCY,DLLS
0.083,0.083,0.083,1,SNFN,DLLS
0.22999999999999998,0.22999999999999998,0.089,1,LA03,DLLS
0.001,0.001,0.001,1,KSCY,DNVR
0.001,0.001,0.001,1,SNFN,DNVR
0.001,0.001,0.001,1,SLKC,DNVR
0.001,0.001,0.001,1,SNFN,KSCY
0.199,0.199,0.199,1,SCRM,SNFN
0.001,0.001,0.1,1,PTLD,SNFN
0.001,0.001,0.001,1,STTL,SNFN
0.001,0.001,0.001,1,SLKC,SNFN
0.067,0.067,0.067,1,LA03,SNFN
0.001,0.001,0.001,1,SLKC,SCRM
0.33399999999999996,0.33399999999999996,0.235,1,STTL,PTLD
0.001,0.001,0.001,1,LA03,SLKC
0.001,0.001,0.001,1,SNDG,LA03
0.208,0.208,0.067,1,PHNX,LA03
0.001,0.001,0.001,1,PHNX,SNDG
0.06,0.06,0.06,2,CMBR,NY54
0.117,0.117,0.224,2,CHCG,NY54
0.001,0.001,0.001,2,PHLA,NY54
0.06,0.06,0.16699999999999998,2,WASH,NY54
0.001,0.001,0.001,2,PHLA,CMBR
0.1,0.1,0.1,2,CLEV,CHCG
0.063,0.063,0.063,2,PHLA,CHCG
0.108,0.108,0.001,2,STLS,CHCG
0.117,0.117,0.117,2,DNVR,CHCG
0.142,0.142,0.142,2,KSCY,CHCG
0.133,0.133,0.232,2,SNFN,CHCG
0.20700000000000002,0.20700000000000002,0.108,2,STTL,CHCG
0.204,0.204,0.204,2,SLKC,CHCG
0.11,0.11,0.182,2,NSVL,CLEV
0.149,0.149,0.077,2,STLS,CLEV
0.001,0.001,0.001,2,PHLA,CLEV
0.108,0.108,0.001,2,ATLN,RLGH
0.001,0.001,0.108,2,WASH,RLGH
0.06,0.06,0.06,2,WASH,ATLN
0.001,0.001,0.001,2,NSVL,ATLN
0.108,0.108,0.001,2,STLS,ATLN
0.001,0.001,0.001,2,DLLS,ATLN
0.001,0.001,0.001,2,ORLD,ATLN
0.001,0.001,0.001,2,WASH,PHLA
0.001,0.001,0.001,2,STLS,NSVL
0.001,0.001,0.073,2,DLLS,NSVL
0.073,0.073,0.001,2,DLLS,STLS
0.001,0.001,0.001,2,KSCY,STLS
0.077,0.077,0.077,2,LA03,STLS
0.001,0.001,0.001,2,HSTN,NWOR
0.001,0.001,0.001,2,DLLS,NWOR
0.001,0.001,0.001,2,ORLD,NWOR
0.001,0.001,0.001,2,SNAN,HSTN
0.43000000000000005,0.43000000000000005,0.43000000000000005,2,DLLS,HSTN
0.001,0.001,0.001,2,ORLD,HSTN
0.125,0.125,0.266,2,PHNX,SNAN
0.001,0.001,0.142,2,DLLS,SNAN
0.142,0.142,0.142,2,DNVR,DLLS
0.26,0.26,0.26,2,KSCY,DLLS
0.083,0.083,0.083,2,SNFN,DLLS
0.22999999999999998,0.22999999999999998,0.089,2,LA03,DLLS
0.001,0.001,0.001,2,KSCY,DNVR
0.001,0.001,0.001,2,SNFN,DNVR
0.001,0.001,0.001,2,SLKC,DNVR
0.001,0.001,0.001,2,SNFN,KSCY
0.199,0.199,0.199,2,SCRM,SNFN
0.001,0.001,0.1,2,PTLD,SNFN
0.134,0.134,0.134,2,STTL,SNFN
0.001,0.001,0.001,2,SLKC,SNFN
0.067,0.067,0.067,2,LA03,SNFN
0.001,0.001,0.001,2,SLKC,SCRM
0.33399999999999996,0.33399999999999996,0.235,2,STTL,PTLD
0.001,0.001,0.001,2,LA03,SLKC
0.001,0.001,0.001,2,SNDG,LA03
0.208,0.208,0.067,2,PHNX,LA03
0.125,0.125,0.125,2,PHNX,SNDG
0.06,0.06,0.06,3,CMBR,NY54
0.117,0.117,0.354,3,CHCG,NY54
0.001,0.001,0.001,3,PHLA,NY54
0.06,0.06,0.297,3,WASH,NY54
0.001,0.001,0.001,3,PHLA,CMBR
0.1,0.1,0.1,3,CLEV,CHCG
0.063,0.063,0.063,3,PHLA,CHCG
0.108,0.108,0.001,3,STLS,CHCG
0.117,0.117,0.117,3,DNVR,CHCG
0.142,0.142,0.142,3,KSCY,CHCG
0.133,0.133,0.362,3,SNFN,CHCG
0.20700000000000002,0.20700000000000002,0.108,3,STTL,CHCG
0.204,0.204,0.204,3,SLKC,CHCG
0.11,0.11,0.182,3,NSVL,CLEV
0.149,0.149,0.077,3,STLS,CLEV
0.001,0.001,0.001,3,PHLA,CLEV
0.108,0.108,0.001,3,ATLN,RLGH
0.001,0.001,0.108,3,WASH,RLGH
0.19,0.19,0.06,3,WASH,ATLN
0.001,0.001,0.001,3,NSVL,ATLN
0.108,0.108,0.093,3,STLS,ATLN
0.223,0.223,0.001,3,DLLS,ATLN
0.093,0.093,0.093,3,ORLD,ATLN
0.001,0.001,0.001,3,WASH,PHLA
