Cultural,Genético,SPF,ciclo,destino,origem
0.001,0.001,0.001,0,BE,NL
0.001,0.001,0.001,0,DK,NL
0.001,0.001,0.001,0,DE,NL
0.001,0.001,0.001,0,UK,NL
0.001,0.001,0.001,0,LT,NL
0.001,0.001,0.001,0,IE,BE
0.771,0.771,0.771,0,IS,DK
0.001,0.001,0.001,0,NO,DK
0.771,0.771,0.771,0,DE,DK
0.001,0.001,0.001,0,EE,DK
0.001,0.001,0.001,0,SE,DK
0.001,0.001,0.001,0,RU,DK
0.001,0.001,0.001,0,UA,PL
0.001,0.001,0.001,0,BY,PL
0.4,0.4,0.4,0,DE,PL
0.001,0.001,0.001,0,CZ,PL
0.001,0.001,0.001,0,LT,PL
0.759,0.759,0.759,0,CZ,DE
0.341,0.341,0.341,0,LU,DE
0.001,0.001,0.34,0,CH,DE
0.758,0.758,0.419,0,CY,DE
0.369,0.369,0.369,0,IL,DE
1.139,1.139,1.139,0,AT,DE
0.7390000000000001,0.7390000000000001,0.7390000000000001,0,RU,DE
0.759,0.759,0.759,0,SK,CZ
0.001,0.001,0.001,0,FR,LU
0.001,0.001,0.001,0,CH,FR
0.001,0.001,0.001,0,ES,FR
0.001,0.001,0.001,0,UK,FR
0.001,0.001,0.001,0,IT,CH
0.001,0.001,0.34,0,ES,CH
0.001,0.001,0.001,0,ES,IT
0.451,0.451,0.451,0,MT,IT
0.001,0.001,0.001,0,AT,IT
0.001,0.001,0.001,0,GR,IT
0.001,0.001,0.001,0,RO,MD
0.001,0.001,0.001,0,HU,BG
0.33,0.33,0.33,0,MK,BG
0.001,0.001,0.001,0,RO,BG
0.001,0.001,0.001,0,TR,BG
0.33,0.33,0.33,0,GR,BG
0.001,0.001,0.001,0,TR,RO
0.001,0.001,0.001,0,HU,RO
0.33,0.33,0.33,0,AT,GR
0.746,0.746,0.40700000000000003,0,UK,CY
0.001,0.001,0.001,0,LT,IL
0.442,0.442,0.442,0,HR,ME
0.001,0.001,0.001,0,RS,HU
0.001,0.001,0.001,0,HR,HU
0.759,0.759,0.759,0,SK,HU
0.001,0.001,0.001,0,AT,SK
0.001,0.001,0.34,0,ES,PT
0.34,0.34,0.001,0,UK,PT
0.81,0.81,0.81,0,SL,HR
0.81,0.81,0.81,0,AT,SL
0.001,0.001,0.001,0,LV,LT
0.001,0.001,0.001,0,UK,IS
