ciclo,origem,destino,Cultural,SPF,Genético
0,NL,BE,0.001,0.001,0.001
0,NL,DK,0.001,0.001,0.001
0,NL,DE,0.357,0.357,0.357
0,NL,UK,0.001,0.001,0.001
0,NL,LT,0.001,0.001,0.001
0,BE,IE,0.001,0.001,0.001
0,DK,IS,0.421,0.421,0.421
0,DK,NO,0.001,0.001,0.001
0,DK,DE,1.158,1.158,1.158
0,DK,EE,0.316,0.316,0.316
0,DK,SE,0.001,0.001,0.001
0,DK,RU,0.001,0.001,0.001
0,PL,UA,0.001,0.001,0.001
0,PL,BY,0.001,0.001,0.001
0,PL,DE,0.001,0.001,0.001
0,PL,CZ,0.365,0.365,0.365
0,PL,LT,0.001,0.001,0.001
0,DE,CZ,0.423,0.423,0.423
0,DE,LU,0.332,0.332,0.332
0,DE,CH,0.357,0.357,0.357
0,DE,CY,0.001,0.001,0.001
0,DE,IL,0.001,0.001,0.001
0,DE,AT,0.736,0.736,0.736
0,DE,RU,0.332,0.332,0.332
0,CZ,SK,0.7869999999999999,0.7869999999999999,0.7869999999999999
0,LU,FR,0.001,0.001,0.001
0,FR,CH,0.001,0.001,0.001
0,FR,ES,0.001,0.001,0.001
0,FR,UK,0.001,0.001,0.001
0,CH,IT,0.357,0.357,0.357
0,CH,ES,0.001,0.001,0.001
0,IT,ES,0.395,0.395,0.395
0,IT,MT,0.001,0.001,0.001
0,IT,AT,0.395,0.395,0.395
0,IT,GR,0.001,0.001,0.001
0,MD,RO,0.001,0.001,0.001
0,BG,HU,0.001,0.001,0.001
0,BG,MK,0.001,0.001,0.001
0,BG,RO,0.001,0.001,0.001
0,BG,TR,0.421,0.421,0.421
0,BG,GR,0.421,0.421,0.421
0,RO,TR,0.001,0.001,0.001
0,RO,HU,0.001,0.001,0.001
0,GR,AT,0.421,0.421,0.421
0,CY,UK,0.001,0.001,0.001
0,IL,LT,0.001,0.001,0.001
0,ME,HR,0.001,0.001,0.001
0,HU,RS,0.001,0.001,0.001
0,HU,HR,0.001,0.001,0.001
0,HU,SK,0.001,0.001,0.001
0,SK,AT,0.001,0.001,0.001
0,PT,ES,0.395,0.395,0.395
0,PT,UK,0.001,0.001,0.001
0,HR,SL,0.395,0.395,0.395
0,SL,AT,0.395,0.395,0.395
0,LT,LV,0.001,0.001,0.001
0,IS,UK,0.001,0.001,0.001
0,IE,UK,0.001,0.001,0.001
0,NO,SE,0.001,0.001,0.001
0,SE,FI,0.001,0.001,0.001
0,EE,LV,0.001,0.001,0.001
1,NL,BE,0.304,0.304,0.304
1,NL,DK,0.297,0.001,0.001
1,NL,DE,0.6599999999999999,0.6599999999999999,0.6599999999999999
1,NL,UK,0.001,0.001,0.001
1,NL,LT,0.297,0.001,0.001
1,BE,IE,0.001,0.001,0.001
1,DK,IS,0.421,0.421,0.421
1,DK,NO,0.001,0.001,0.001
1,DK,DE,1.88,1.88,1.88
1,DK,EE,0.316,0.612,0.612
1,DK,SE,0.599,0.599,0.599
1,DK,RU,0.001,0.001,0.001
1,PL,UA,0.001,0.001,0.001
1,PL,BY,0.001,0.001,0.001
1,PL,DE,0.001,0.001,0.001
1,PL,CZ,0.7949999999999999,0.7949999999999999,0.7949999999999999
1,PL,LT,0.431,0.431,0.431
1,DE,CZ,0.8009999999999999,0.8009999999999999,0.8009999999999999
1,DE,LU,0.674,0.674,0.674
1,DE,CH,0.357,0.659,0.357
1,DE,CY,0.722,0.722,0.722
1,DE,IL,0.001,0.001,0.001
1,DE,AT,1.984,1.682,1.984
1,DE,RU,0.332,0.332,0.332
1,CZ,SK,1.2169999999999999,1.2169999999999999,1.2169999999999999
1,LU,FR,0.001,0.001,0.001
1,FR,CH,0.405,0.405,0.405
1,FR,ES,0.404,0.001,0.001
1,FR,UK,0.404,0.001,0.001
1,CH,IT,0.761,1.063,0.761
1,CH,ES,0.404,0.404,0.404
1,IT,ES,0.395,0.395,0.395
1,IT,MT,0.303,0.303,0.303
1,IT,AT,0.6970000000000001,0.395,0.6970000000000001
1,IT,GR,0.405,0.405,0.405
1,MD,RO,0.001,0.001,0.001
1,BG,HU,0.001,0.001,0.001
1,BG,MK,0.7470000000000001,0.7470000000000001,0.7470000000000001
1,BG,RO,0.001,0.001,0.001
1,BG,TR,0.421,0.421,0.421
1,BG,GR,1.167,1.167,1.167
1,RO,TR,0.001,0.001,0.001
1,RO,HU,0.431,0.431,0.431
1,GR,AT,0.763,0.763,0.763
1,CY,UK,0.001,0.001,0.001
1,IL,LT,0.001,0.001,0.001
1,ME,HR,0.001,0.001,0.001
1,HU,RS,0.001,0.001,0.001
1,HU,HR,0.001,0.001,0.001
1,HU,SK,0.431,0.431,0.431
1,SK,AT,0.001,0.001,0.001
1,PT,ES,0.395,0.798,0.798
1,PT,UK,0.404,0.001,0.001
1,HR,SL,0.9989999999999999,0.9989999999999999,0.9989999999999999
1,SL,AT,0.9989999999999999,0.9989999999999999,0.9989999999999999
1,LT,LV,0.727,0.431,0.431
1,IS,UK,0.001,0.001,0.001
1,IE,UK,0.001,0.001,0.001
1,NO,SE,0.001,0.001,0.001
1,SE,FI,0.001,0.001,0.001
1,EE,LV,0.297,0.001,0.001
2,NL,BE,0.304,0.304,0.304
2,NL,DK,0.297,0.001,0.001
2,NL,DE,0.6599999999999999,0.6599999999999999,0.6599999999999999
2,NL,UK,0.001,0.001,0.001
2,NL,LT,0.297,0.001,0.001
2,BE,IE,0.001,0.001,0.001
