Cultural,Genético,SPF,ciclo,destino,origem
0.001,0.001,0.001,0,CMBR,NY54
0.001,0.001,0.506,0,CHCG,NY54
0.001,0.001,0.001,0,PHLA,NY54
0.001,0.001,0.506,0,WASH,NY54
0.001,0.001,0.001,0,PHLA,CMBR
0.001,0.001,0.001,0,CLEV,CHCG
0.001,0.001,0.578,0,PHLA,CHCG
0.001,0.001,1.331,0,STLS,CHCG
0.001,0.001,0.506,0,DNVR,CHCG
0.754,0.754,0.001,0,KSCY,CHCG
0.624,0.624,0.624,0,SNFN,CHCG
0.001,0.001,0.001,0,STTL,CHCG
0.001,0.001,0.001,0,SLKC,CHCG
0.001,0.001,0.001,0,NSVL,CLEV
0.578,0.578,0.001,0,STLS,CLEV
0.578,0.578,0.001,0,PHLA,CLEV
0.001,0.001,0.001,0,ATLN,RLGH
0.001,0.001,0.001,0,WASH,RLGH
0.506,0.506,0.001,0,WASH,ATLN
0.001,0.001,0.001,0,NSVL,ATLN
0.619,0.619,0.619,0,STLS,ATLN
0.506,0.506,0.001,0,DLLS,ATLN
0.001,0.001,0.001,0,ORLD,ATLN
0.001,0.001,0.001,0,WASH,PHLA
0.001,0.001,0.001,0,STLS,NSVL
0.001,0.001,0.001,0,DLLS,NSVL
0.578,0.578,1.331,0,DLLS,STLS
0.001,0.001,0.001,0,KSCY,STLS
0.619,0.619,0.619,0,LA03,STLS
0.679,0.679,1.433,0,HSTN,NWOR
2.129,2.129,1.375,0,DLLS,NWOR
0.001,0.001,0.001,0,ORLD,NWOR
0.001,0.001,0.755,0,SNAN,HSTN
0.57,0.57,0.57,0,DLLS,HSTN
0.001,0.001,0.001,0,ORLD,HSTN
0.001,0.001,0.755,0,PHNX,SNAN
1.209,1.209,1.209,0,DLLS,SNAN
0.506,0.506,0.001,0,DNVR,DLLS
0.754,0.754,0.001,0,KSCY,DLLS
1.2530000000000001,1.2530000000000001,1.2530000000000001,0,SNFN,DLLS
0.755,0.755,0.001,0,LA03,DLLS
0.001,0.001,0.001,0,KSCY,DNVR
0.001,0.001,0.001,0,SNFN,DNVR
0.001,0.001,0.001,0,SLKC,DNVR
0.001,0.001,0.001,0,SNFN,KSCY
0.001,0.001,0.001,0,SCRM,SNFN
1.255,1.255,1.255,0,PTLD,SNFN
0.622,0.622,0.622,0,STTL,SNFN
0.001,0.001,0.001,0,SLKC,SNFN
0.001,0.001,0.001,0,LA03,SNFN
0.001,0.001,0.001,0,SLKC,SCRM
0.001,0.001,0.001,0,STTL,PTLD
0.001,0.001,0.001,0,LA03,SLKC
0.619,0.619,0.619,0,SNDG,LA03
0.755,0.755,0.001,0,PHNX,LA03
0.001,0.001,0.001,0,PHNX,SNDG
0.001,0.001,0.001,1,CMBR,NY54
0.713,0.713,1.218,1,CHCG,NY54
0.001,0.001,0.001,1,PHLA,NY54
0.713,0.713,1.218,1,WASH,NY54
0.567,0.567,0.567,1,PHLA,CMBR
0.001,0.001,0.001,1,CLEV,CHCG
0.001,0.001,0.578,1,PHLA,CHCG
0.001,0.001,1.8599999999999999,1,STLS,CHCG
0.001,0.001,0.506,1,DNVR,CHCG
0.754,0.754,0.001,1,KSCY,CHCG
0.624,0.624,1.3359999999999999,1,SNFN,CHCG
0.713,0.713,0.001,1,STTL,CHCG
0.001,0.001,0.53,1,SLKC,CHCG
0.001,0.001,0.001,1,NSVL,CLEV
0.578,0.578,0.001,1,STLS,CLEV
0.578,0.578,0.001,1,PHLA,CLEV
0.001,0.001,0.001,1,ATLN,RLGH
0.001,0.001,0.001,1,WASH,RLGH
0.506,0.506,0.001,1,WASH,ATLN
0.001,0.001,0.001,1,NSVL,ATLN
0.619,0.619,1.1480000000000001,1,STLS,ATLN
1.0350000000000001,1.0350000000000001,0.001,1,DLLS,ATLN
0.001,0.001,0.001,1,ORLD,ATLN
0.001,0.001,0.001,1,WASH,PHLA
0.001,0.001,0.001,1,STLS,NSVL
1.459,1.459,1.459,1,DLLS,NSVL
0.578,0.578,1.331,1,DLLS,STLS
0.001,0.001,0.001,1,KSCY,STLS
0.619,0.619,0.619,1,LA03,STLS
0.679,0.679,1.433,1,HSTN,NWOR
2.129,2.129,1.375,1,DLLS,NWOR
0.001,0.001,0.001,1,ORLD,NWOR
0.001,0.001,0.755,1,SNAN,HSTN
0.57,0.57,0.57,1,DLLS,HSTN
0.001,0.001,0.001,1,ORLD,HSTN
0.672,0.672,1.4260000000000002,1,PHNX,SNAN
2.527,2.527,2.527,1,DLLS,SNAN
1.0350000000000001,1.0350000000000001,0.001,1,DNVR,DLLS
0.754,0.754,0.001,1,KSCY,DLLS
